ID,Name,Description,BIPA
BIPA_ai_u0061u0268,aɨ,from unrounded open front to unrounded close central diphthong,aɨ
BIPA_u_u0264u003A,ɤ:,long unrounded close-mid back vowel,ɤː
BIPA_x_u0078u0325,x̥,devoiced voiceless velar fricative consonant,x̥
BIPA_j_u006Au02E4,jˤ,pharyngealized voiced palatal approximant consonant,jˤ
BIPA_nb_u006Eu0062,nb,pre-nasalized voiced bilabial stop consonant,ⁿb
BIPA_ngg_u014Bu0261u02D0,ŋɡː,pre-nasalized long voiced velar stop consonant,ⁿgː
BIPA_kh_u006Bu203Cu02B0,k‼ʰ,aspirated voiceless retroflex click consonant,ǃǃʰ
BIPA_i_u0268u0306,ɨ̆,ultra-short unrounded close central vowel,ɨ̆
BIPA_ao_u0251u006F,ɑo,from unrounded open back to rounded close-mid back diphthong,ɑo
BIPA_z_u007Au032Au033B,z̪̻,voiced laminal dental sibilant fricative consonant,z̪̻
BIPA_ae_u0061u0065u031E,ae̞,from unrounded open front to unrounded mid front diphthong,ae̞
BIPA_r_u0072u02BCu02D0,rʼː,long voiced alveolar ejective trill consonant,r’ː
BIPA_nd_u006Eu0324u0064u0324,n̤d̤,pre-nasalized breathy voiced alveolar stop consonant,ⁿdʱ
BIPA_ai_u0251u0069u032F,ɑi̯,from unrounded open back to non-syllabic unrounded close front diphthong,ɑi̯
UNK_jae_u006Au00E6,jæ,,
BIPA_e_u025Bu031D,ɛ̝,raised unrounded open-mid front vowel,ɛ̝
BIPA_pw_u0070u02B7,pʷ,labialized voiceless bilabial stop consonant,pʷ
BIPA_u_u1E75u02D0,ṵː,long creaky rounded close back vowel,ṵː
BIPA_i_u026Au0259,ɪə,from unrounded near-close near-front to unrounded mid central diphthong,ɪə
BIPA__u02E6u02E8,˦˨,falling from-mid-high to-mid-low tone,⁴²
BIPA_tsh_u0074u0073u02D0u02B0,tsːʰ,aspirated long voiceless alveolar sibilant affricate consonant,tsʰː
BIPA_sh_u0282u02B0,ʂʰ,aspirated voiceless retroflex sibilant fricative consonant,ʂʰ
BIPA_ng_u014Bu01C3u0320,ŋǃ̠,retracted voiced alveolar nasal-click consonant,ŋǃ̠
BIPA_z_u007Au032Au02E4,z̪ˤ,pharyngealized voiced dental sibilant fricative consonant,z̪ˤ
BIPA_ew_u025Bu026F,ɛɯ,from unrounded open-mid front to unrounded close back diphthong,ɛɯ
BIPA_io_u0069u032Fu006F,i̯o,from non-syllabic unrounded close front to rounded close-mid back diphthong,i̯o
BIPA_a_u0251u0306,ɑ̆,ultra-short unrounded open back vowel,ɑ̆
BIPA_k_u006Bu0298u0294,kʘʔ,from voiceless labial click to voiceless glottal stop cluster,ʘʔ
BIPA_ns_u006Eu0325u0283,n̥ʃ,pre-nasalized voiceless post-alveolar sibilant fricative consonant,ⁿʃ
BIPA_gx_u0261u0330u01C0u0353u0078,ɡ̰ǀ͓x,voiceless dental click consonant,ǀ
UNK_ieu_u0069u032Fu0065u0075u032F,i̯eu̯,,
BIPA_j_u025Fu0324,ɟ̤,breathy voiced palatal stop consonant,ɟʱ
BIPA_dl_u0064u032Au006Cu032A,d̪l̪,voiced dental lateral affricate consonant,d̪ɮ
BIPA_l_u006Cu0325u02D0,l̥ː,long devoiced voiced alveolar lateral approximant consonant,l̥ː
BIPA_u_u028Au0319,ʊ̙,retracted-tongue-root rounded near-close near-back vowel,ʊ̙
BIPA_oi_u00F8u026A,øɪ,from rounded close-mid front to unrounded near-close near-front diphthong,øɪ
BIPA_dz_u0064u0324u007Au0324u02D0,d̤z̤ː,long breathy voiced alveolar sibilant affricate consonant,dzʱː
BIPA_e_u025Bu031E,ɛ̞,lowered unrounded open-mid front vowel,ɛ̞
UNK_tsh_u0074u0073u0347u02B0,ts͇ʰ,,
BIPA_ch_u0063u02B0,cʰ,aspirated voiceless palatal stop consonant,cʰ
BIPA_i_u0069u031Eu02D0,i̞ː,long lowered unrounded close front vowel,i̞ː
BIPA_tl_u0074u026Cu02BC,tɬʼ,voiceless alveolar ejective lateral affricate consonant,tɬʼ
BIPA_u_u1E73u0303u02D0,ṳ̃ː,long nasalized breathy rounded close back vowel,ṳ̃ː
BIPA_nts_u0272u02A7,ɲʧ,from voiced palatal nasal to voiceless post-alveolar sibilant affricate cluster,ɲtʃ
BIPA_ts_u0074u0073u02BCu02D0,tsʼː,long voiceless alveolar ejective sibilant affricate consonant,ts’ː
BIPA_c_u0063u0330,c̰,creaky voiceless palatal stop consonant,c̰
UNK_dz_u0064u1E91,dẑ,,
BIPA_x_u0078,x,voiceless velar fricative consonant,x
BIPA_i_u0268u031Eu0303,ɨ̞̃,lowered nasalized unrounded close central vowel,ɨ̞̃
BIPA_n_u02C0u006Eu032Au0325,ˀn̪̥,pre-glottalized devoiced voiced dental nasal consonant,ˀn̪̥
BIPA_oo_u0254u006F,ɔo,from rounded open-mid back to rounded close-mid back diphthong,ɔo
BIPA_p_u0070u02D1,pˑ,mid-long voiceless bilabial stop consonant,pˑ
BIPA_rh_u027Eu02B1,ɾʱ,breathy voiced alveolar tap consonant,ɾʱ
BIPA_rj_u0072u0325u02B2u02D0,r̥ʲː,palatalized long devoiced voiced alveolar trill consonant,r̥ʲː
BIPA_gkx_u0261u01C1u006Bu0078u02BC,ɡǁkxʼ,from voiced lateral click to voiceless velar ejective affricate cluster,gǁkx’
BIPA_g_u0261u01C2,ɡǂ,voiced palatal click consonant,gǂ
UNK_b_u02BCu0062,ʼb,,
BIPA_o_u006Fu0330u02D1,o̰ˑ,mid-long creaky rounded close-mid back vowel,o̰ˑ
