ID,Name,Glottocode,Macroarea,Latitude,Longitude,Family_Glottocode,Family_Name
1_Korean_kore1280,Korean,kore1280,Eurasia,37.5,128.0,kore1284,Koreanic
2_Ket_kett1243,Ket,kett1243,Eurasia,63.7551,87.5466,yeni1252,Yeniseian
3_Lak_lakk1252,Lak,lakk1252,Eurasia,42.1328,47.0809,nakh1245,Nakh-Daghestanian
4_Kabardian_kaba1278,Kabardian,kaba1278,Eurasia,43.5082,43.3918,abkh1242,Abkhaz-Adyge
5_Georgian_nucl1302,Georgian,nucl1302,Eurasia,41.850397,43.78613,kart1248,Kartvelian
6_Burushaski_buru1296,Burushaski,buru1296,Eurasia,36.2161,74.8236,,
7_Kurukh_kuru1302,Kurukh,kuru1302,Eurasia,24.4644,86.4657,drav1251,Dravidian
8_Telugu_telu1262,Telugu,telu1262,Eurasia,16.4529,78.7024,drav1251,Dravidian
9_Kota_India_kota1263,Kota (India),kota1263,Eurasia,11.4978,76.9387,drav1251,Dravidian
10_Mundari_mund1320,Mundari,mund1320,Eurasia,23.03,85.85,aust1305,Austroasiatic
11_Kharia_khar1287,Kharia,khar1287,Eurasia,22.3571,84.3922,aust1305,Austroasiatic
12_Khasi_khas1269,Khasi,khas1269,Eurasia,24.977,91.9998,aust1305,Austroasiatic
13_Sedang_seda1262,Sedang,seda1262,Eurasia,14.7793,108.027,aust1305,Austroasiatic
14_Central_Khmer_cent1989,Central Khmer,cent1989,Eurasia,12.0515,105.015,aust1305,Austroasiatic
15_Vietnamese_viet1252,Vietnamese,viet1252,Eurasia,20.681188,105.774071,aust1305,Austroasiatic
16_Mandarin_Chinese_mand1415,Mandarin Chinese,mand1415,Eurasia,40.0209,116.228,sino1245,Sino-Tibetan
17_Wu_Chinese_wuch1236,Wu Chinese,wuch1236,Eurasia,29.8621,119.682,sino1245,Sino-Tibetan
18_Hakka_Chinese_hakk1236,Hakka Chinese,hakk1236,Eurasia,25.0,116.0,sino1245,Sino-Tibetan
19_Yue_Chinese_yuec1235,Yue Chinese,yuec1235,Eurasia,23.0,113.0,sino1245,Sino-Tibetan
20_Iu_Mien_iumi1238,Iu Mien,iumi1238,Eurasia,20.83,101.17,hmon1336,Hmong-Mien
21_NyishiHill_Miri_nyis1236,Nyishi-Hill Miri,nyis1236,Eurasia,27.278263,93.675529,sino1245,Sino-Tibetan
22_Burmese_nucl1310,Burmese,nucl1310,Eurasia,20.7926,93.9665,sino1245,Sino-Tibetan
23_Lahu_lahu1253,Lahu,lahu1253,Eurasia,21.2701,100.214,sino1245,Sino-Tibetan
24_Garo_garo1247,Garo,garo1247,Eurasia,25.2954,90.462,sino1245,Sino-Tibetan
25_Sgaw_Karen_sgaw1245,S'gaw Karen,sgaw1245,Eurasia,17.9872,97.7126,sino1245,Sino-Tibetan
26_Lakkia_lakk1238,Lakkia,lakk1238,Eurasia,24.1169,110.106,taik1256,Tai-Kadai
